event_id,entity_id,event_timestamp,event_type,source_system,severity_reported,value_amount,entity_type,region,tier,risk_segment_baseline,entity_age_days,prior_events_count,prior_flagged_count,time_since_last_event_hours,hour_of_day,day_of_week,auto_resolved_flag,is_risk_flag,resolution_minutes,analyst_notes_length,confirmed_loss_amount
41,1200,2023-01-03 13:46:38,data_export,batch,medium,43.0,service,zone_central,standard,low,189,0,0,,13,1,1,0,,,
42,1168,2023-01-03 14:45:36,login_anomaly,web,low,56.85,device,zone_north,standard,high,580,0,0,,14,1,0,0,26.7,67.0,
43,1248,2023-01-03 15:55:48,login_anomaly,web,low,92.17,account,zone_north,standard,high,128,0,0,,15,1,0,0,17.11,69.0,
44,1198,2023-01-03 16:09:57,login_anomaly,mobile,medium,26.46,service,zone_north,enterprise,high,733,0,0,,16,1,1,0,,,
45,836,2023-01-03 16:35:48,payment_dispute,web,low,98.02,service,zone_west,standard,medium,535,0,0,,16,1,1,0,,,
46,1433,2023-01-03 17:23:37,access_violation,web,high,7.41,account,zone_east,plus,low,0,0,0,,17,1,0,0,40.2,69.0,
47,1137,2023-01-03 18:31:04,policy_override,web,medium,30.44,device,zone_east,standard,low,0,0,0,,18,1,0,1,39.26,98.0,12.45
48,1311,2023-01-03 19:54:59,login_anomaly,mobile,low,95.03,device,zone_north,standard,low,0,1,0,8.62,19,1,0,0,18.71,57.0,
49,277,2023-01-03 20:55:58,policy_override,web,medium,39.29,account,zone_west,standard,low,0,0,0,,20,1,0,0,11.63,98.0,
50,619,2023-01-03 21:12:44,payment_dispute,mobile,low,134.22,account,zone_north,standard,low,838,0,0,,21,1,0,0,20.26,68.0,
51,872,2023-01-03 22:54:57,data_export,api,low,19.63,account,zone_south,standard,high,199,0,0,,22,1,0,0,36.44,113.0,
52,1223,2023-01-03 23:58:46,permission_escalation,web,medium,114.07,vendor,zone_south,standard,low,156,0,0,,23,1,1,0,,,
53,1317,2023-01-04 08:32:43,permission_escalation,batch,low,61.2,service,zone_south,enterprise,low,0,0,0,,8,2,0,0,12.1,77.0,
54,312,2023-01-04 08:37:37,login_anomaly,web,low,46.73,device,zone_east,enterprise,medium,728,1,0,37.686,8,2,0,0,15.82,98.0,
55,312,2023-01-04 09:39:32,permission_escalation,mobile,critical,35.49,device,zone_east,enterprise,medium,728,2,0,1.032,9,2,0,0,8.23,83.0,
56,757,2023-01-04 09:43:50,access_violation,api,low,105.76,device,zone_central,standard,medium,446,2,0,41.309,9,2,1,0,,,
57,1168,2023-01-04 09:52:18,duplicate_transaction,web,low,61.82,device,zone_north,standard,high,581,1,0,19.112,9,2,0,0,26.1,70.0,
58,633,2023-01-04 10:19:19,payment_dispute,batch,high,112.7,account,zone_central,plus,low,784,0,0,,10,2,0,0,34.27,114.0,
59,757,2023-01-04 10:28:55,config_change,mobile,low,122.0,device,zone_central,standard,medium,446,3,0,0.751,10,2,1,0,,,
60,893,2023-01-04 10:48:02,config_change,mobile,medium,73.62,account,zone_south,standard,high,451,0,0,,10,2,1,0,,,
61,1127,2023-01-04 10:50:06,policy_override,batch,medium,115.09,device,zone_east,standard,medium,0,0,0,,10,2,0,0,38.94,71.0,
62,1229,2023-01-04 11:21:16,duplicate_transaction,web,medium,94.41,integration,zone_south,plus,high,574,0,0,,11,2,0,1,27.57,69.0,76.41
63,1069,2023-01-04 11:29:18,access_violation,batch,medium,78.63,account,zone_west,enterprise,low,0,0,0,,11,2,1,0,,,
64,1044,2023-01-04 11:34:38,config_change,batch,high,67.0,service,zone_south,enterprise,medium,91,0,0,,11,2,1,0,,,
65,757,2023-01-04 12:32:10,config_change,web,low,60.69,device,zone_central,standard,medium,446,4,0,2.054,12,2,1,0,,,
66,479,2023-01-04 13:55:16,login_anomaly,mobile,medium,83.82,service,zone_west,enterprise,medium,5,1,0,47.103,13,2,0,0,24.22,72.0,
67,1281,2023-01-04 14:18:43,policy_override,web,medium,184.75,device,zone_north,standard,high,0,0,0,,14,2,1,0,,,
68,1328,2023-01-04 14:22:21,permission_escalation,batch,low,44.66,service,zone_north,plus,low,0,0,0,,14,2,1,0,,,
69,893,2023-01-04 14:30:41,config_change,batch,critical,11.75,account,zone_south,standard,high,451,1,0,3.711,14,2,0,0,26.02,121.0,
70,128,2023-01-04 14:55:01,duplicate_transaction,api,medium,203.32,account,zone_north,standard,low,177,0,0,,14,2,0,0,17.5,67.0,
71,1015,2023-01-04 15:21:26,policy_override,batch,critical,51.61,device,zone_south,plus,low,450,0,0,,15,2,0,0,48.36,39.0,
72,1011,2023-01-04 15:30:10,access_violation,api,medium,111.8,service,zone_east,standard,low,543,0,0,,15,2,0,0,11.87,36.0,
73,1450,2023-01-04 16:34:12,policy_override,mobile,low,153.03,account,zone_central,standard,medium,136,0,0,,16,2,0,0,7.88,126.0,
74,1492,2023-01-04 16:38:05,login_anomaly,web,medium,35.27,vendor,zone_central,enterprise,medium,725,0,0,,16,2,0,0,95.13,85.0,
75,1197,2023-01-04 16:40:20,permission_escalation,batch,medium,29.81,account,zone_central,standard,low,174,1,0,31.145,16,2,0,1,10.05,81.0,18.47
76,1331,2023-01-04 16:47:24,duplicate_transaction,api,low,112.43,vendor,zone_south,standard,medium,0,0,0,,16,2,0,0,27.79,107.0,
77,523,2023-01-04 17:25:33,config_change,api,high,206.14,account,zone_north,standard,high,90,0,0,,17,2,0,0,18.08,50.0,
78,1044,2023-01-04 18:01:01,login_anomaly,batch,high,30.76,service,zone_south,enterprise,medium,91,1,0,6.44,18,2,0,0,18.62,70.0,
79,203,2023-01-04 18:14:41,permission_escalation,mobile,low,186.33,device,zone_south,enterprise,low,0,0,0,,18,2,0,0,30.47,125.0,
80,159,2023-01-04 19:54:01,config_change,batch,high,81.58,service,zone_south,enterprise,medium,709,0,0,,19,2,0,0,48.59,87.0,
81,712,2023-01-04 20:29:56,config_change,batch,low,71.42,service,zone_east,plus,low,0,0,0,,20,2,0,0,18.89,39.0,
82,597,2023-01-05 03:19:45,config_change,web,medium,141.3,service,zone_north,enterprise,medium,0,0,0,,3,3,0,0,9.62,100.0,
83,1240,2023-01-05 07:11:05,policy_override,api,low,52.2,account,zone_east,plus,low,421,0,0,,7,3,0,0,20.63,85.0,
84,481,2023-01-05 09:00:08,login_anomaly,mobile,low,238.98,device,zone_central,standard,high,0,0,0,,9,3,0,0,22.58,79.0,
85,633,2023-01-05 09:17:25,login_anomaly,mobile,low,11.47,account,zone_central,plus,low,785,1,0,22.968,9,3,0,1,35.29,134.0,6.52
86,111,2023-01-05 13:44:12,duplicate_transaction,web,high,16.8,device,zone_south,standard,high,245,0,0,,13,3,0,0,25.27,81.0,
87,1248,2023-01-05 14:14:29,login_anomaly,api,low,97.81,account,zone_north,standard,high,130,1,0,46.311,14,3,0,0,45.24,70.0,
88,893,2023-01-05 14:45:41,config_change,web,low,140.29,account,zone_south,standard,high,452,2,0,24.25,14,3,1,0,,,
89,766,2023-01-05 14:46:24,policy_override,batch,low,36.88,account,zone_north,plus,low,0,0,0,,14,3,0,0,16.35,72.0,
90,1360,2023-01-05 16:20:32,data_export,web,high,28.85,account,zone_east,plus,low,76,1,0,76.356,16,3,0,0,8.89,31.0,
91,954,2023-01-05 16:26:08,permission_escalation,api,medium,240.39,account,zone_central,plus,low,0,0,0,,16,3,0,0,14.95,58.0,
92,837,2023-01-05 16:56:42,data_export,batch,medium,168.36,service,zone_central,plus,medium,688,0,0,,16,3,0,0,28.5,113.0,
93,975,2023-01-05 17:26:41,login_anomaly,web,high,89.76,device,zone_south,standard,medium,879,0,0,,17,3,0,0,26.78,111.0,
94,1127,2023-01-05 17:33:21,payment_dispute,api,medium,74.93,device,zone_east,standard,medium,0,1,0,30.721,17,3,0,0,16.07,104.0,
95,1191,2023-01-05 18:12:46,policy_override,batch,low,115.97,device,zone_central,standard,low,0,0,0,,18,3,1,0,,,
96,279,2023-01-05 19:40:08,duplicate_transaction,mobile,low,71.02,vendor,zone_south,standard,low,611,0,0,,19,3,0,0,18.57,53.0,
97,637,2023-01-05 21:55:34,config_change,api,medium,62.78,service,zone_south,plus,low,0,0,0,,21,3,0,0,19.89,50.0,
98,303,2023-01-06 01:09:36,access_violation,mobile,low,93.7,device,zone_north,standard,low,382,0,0,,1,4,0,0,24.92,51.0,
99,1048,2023-01-06 07:38:31,config_change,web,medium,25.38,vendor,zone_north,standard,medium,508,0,0,,7,4,0,0,18.35,37.0,
100,472,2023-01-06 10:26:43,duplicate_transaction,batch,medium,54.85,device,zone_central,standard,low,770,0,0,,10,4,0,1,51.62,137.0,38.0
101,1460,2023-01-06 10:38:24,duplicate_transaction,api,medium,198.89,device,zone_central,plus,low,0,0,0,,10,4,0,0,12.63,55.0,
102,159,2023-01-06 11:14:48,data_export,api,low,29.45,service,zone_south,enterprise,medium,711,1,0,39.346,11,4,0,0,37.31,84.0,
103,410,2023-01-06 11:38:42,policy_override,web,medium,339.56,integration,zone_central,standard,low,639,0,0,,11,4,0,0,13.91,35.0,
104,757,2023-01-06 11:47:08,policy_override,web,high,162.45,device,zone_central,standard,medium,448,5,0,47.249,11,4,0,0,12.43,77.0,
105,772,2023-01-06 12:27:46,access_violation,mobile,low,130.29,service,zone_west,enterprise,high,0,0,0,,12,4,0,0,11.06,84.0,
106,1307,2023-01-06 12:28:52,permission_escalation,api,medium,35.22,service,zone_south,plus,medium,0,0,0,,12,4,1,0,,,
107,1291,2023-01-06 12:39:02,login_anomaly,api,medium,94.8,device,zone_central,standard,medium,736,1,0,118.203,12,4,0,0,8.76,68.0,
108,243,2023-01-06 12:42:08,duplicate_transaction,api,low,15.83,account,zone_north,enterprise,medium,0,1,0,115.497,12,4,0,0,36.59,90.0,
109,1406,2023-01-06 15:18:41,login_anomaly,web,low,68.51,account,zone_west,plus,high,0,0,0,,15,4,0,0,36.76,104.0,
110,1441,2023-01-06 15:35:04,login_anomaly,web,critical,76.28,account,zone_central,standard,medium,0,0,0,,15,4,0,0,60.03,11.0,
111,928,2023-01-06 15:36:40,permission_escalation,web,medium,149.48,vendor,zone_west,plus,medium,423,0,0,,15,4,1,0,,,
112,909,2023-01-06 16:08:55,data_export,batch,high,43.95,account,zone_south,standard,low,426,0,0,,16,4,1,0,,,
113,1349,2023-01-06 18:14:40,duplicate_transaction,web,medium,52.37,device,zone_west,standard,low,0,0,0,,18,4,1,0,,,
114,3,2023-01-06 19:19:54,payment_dispute,web,critical,26.02,vendor,zone_south,standard,medium,774,0,0,,19,4,0,0,15.42,91.0,
115,333,2023-01-06 19:23:17,payment_dispute,web,critical,77.4,service,zone_east,standard,medium,0,0,0,,19,4,0,1,26.07,92.0,78.75
116,785,2023-01-06 21:45:32,payment_dispute,api,high,152.31,integration,zone_north,standard,low,0,0,0,,21,4,0,0,6.92,28.0,
117,1260,2023-01-07 06:04:49,data_export,web,low,82.68,integration,zone_east,standard,low,0,0,0,,6,5,1,0,,,
118,1488,2023-01-07 07:38:30,duplicate_transaction,api,high,149.73,device,zone_east,standard,low,891,0,0,,7,5,1,0,,,
119,543,2023-01-07 07:51:10,config_change,web,medium,74.37,vendor,zone_west,enterprise,low,783,0,0,,7,5,0,0,6.24,120.0,
120,1311,2023-01-07 09:13:07,login_anomaly,web,medium,209.36,device,zone_north,standard,low,0,2,0,85.302,9,5,0,0,21.96,39.0,
121,530,2023-01-07 09:49:28,payment_dispute,batch,medium,29.55,account,zone_east,standard,low,86,0,0,,9,5,1,0,,,
122,243,2023-01-07 12:39:53,config_change,api,low,24.74,account,zone_north,enterprise,medium,1,2,0,23.962,12,5,0,0,30.86,43.0,
123,811,2023-01-07 13:24:51,config_change,mobile,medium,58.31,account,zone_central,plus,low,693,0,0,,13,5,0,0,29.12,98.0,
124,1235,2023-01-07 16:15:59,config_change,api,medium,158.3,account,zone_south,standard,low,578,0,0,,16,5,0,0,10.4,64.0,
125,1347,2023-01-07 19:00:43,data_export,web,low,79.61,device,zone_south,plus,high,36,0,0,,19,5,0,0,11.07,74.0,
126,543,2023-01-07 21:21:58,config_change,api,high,34.77,vendor,zone_west,enterprise,low,783,1,0,13.513,21,5,0,0,38.83,111.0,
127,1184,2023-01-08 10:14:47,payment_dispute,batch,medium,53.85,account,zone_east,standard,medium,0,0,0,,10,6,0,0,33.51,110.0,
128,763,2023-01-08 10:19:05,config_change,web,critical,194.23,account,zone_east,standard,low,658,1,0,147.836,10,6,0,0,15.19,63.0,
129,682,2023-01-08 11:54:40,config_change,api,low,56.56,account,zone_central,standard,low,0,0,0,,11,6,0,1,17.92,153.0,47.6
130,117,2023-01-08 12:30:15,config_change,web,critical,261.69,service,zone_north,standard,low,479,0,0,,12,6,0,0,46.28,127.0,
131,566,2023-01-08 12:55:57,login_anomaly,api,high,23.82,service,zone_central,plus,low,202,0,0,,12,6,1,0,,,
132,892,2023-01-08 13:46:12,config_change,web,low,27.74,integration,zone_west,plus,low,630,0,0,,13,6,1,0,,,
133,1004,2023-01-08 13:49:47,data_export,api,medium,80.96,account,zone_central,standard,medium,315,0,0,,13,6,0,0,9.46,135.0,
134,723,2023-01-08 15:54:10,data_export,web,high,31.81,account,zone_east,enterprise,low,661,0,0,,15,6,0,0,22.66,65.0,
135,1422,2023-01-08 16:16:04,payment_dispute,web,medium,22.26,device,zone_north,standard,low,627,0,0,,16,6,0,0,29.68,123.0,
136,1008,2023-01-08 18:21:32,duplicate_transaction,mobile,low,148.55,account,zone_central,standard,low,0,0,0,,18,6,0,0,26.91,75.0,
137,1435,2023-01-08 18:47:32,payment_dispute,web,high,155.7,account,zone_west,plus,low,173,0,0,,18,6,1,0,,,
138,1178,2023-01-09 04:48:58,access_violation,mobile,low,212.1,device,zone_central,enterprise,medium,0,0,0,,4,0,0,0,22.16,101.0,
139,444,2023-01-09 06:20:15,data_export,web,medium,180.46,account,zone_north,standard,high,517,0,0,,6,0,0,0,5.0,86.0,
140,81,2023-01-09 07:11:29,config_change,web,low,26.4,service,zone_central,standard,medium,177,0,0,,7,0,0,0,24.72,90.0,
141,757,2023-01-09 09:59:45,config_change,web,high,158.21,device,zone_central,standard,medium,451,6,0,70.21,9,0,0,0,7.71,122.0,
142,1311,2023-01-09 10:17:59,login_anomaly,web,medium,74.36,device,zone_north,standard,low,0,3,0,49.081,10,0,0,0,25.32,79.0,
143,1048,2023-01-09 11:45:35,data_export,api,high,108.51,vendor,zone_north,standard,medium,511,1,0,76.118,11,0,1,0,,,
144,1044,2023-01-09 12:13:36,config_change,web,low,32.17,service,zone_south,enterprise,medium,96,2,0,114.21,12,0,0,0,17.51,73.0,
145,1434,2023-01-09 13:14:47,login_anomaly,batch,medium,104.19,account,unknown,standard,low,0,0,0,,13,0,0,0,12.02,10.0,
146,55,2023-01-09 15:16:43,access_violation,batch,high,23.31,service,zone_south,plus,low,0,0,0,,15,0,0,0,23.15,98.0,
147,859,2023-01-09 15:16:56,duplicate_transaction,web,high,21.34,device,zone_central,plus,low,0,0,0,,15,0,0,0,19.23,45.0,
148,379,2023-01-09 15:23:25,login_anomaly,api,low,13.17,device,zone_east,standard,low,0,0,0,,15,0,0,0,33.22,43.0,
149,1032,2023-01-09 17:07:31,login_anomaly,batch,medium,21.07,service,zone_west,standard,medium,58,0,0,,17,0,0,0,22.87,57.0,
150,1198,2023-01-09 18:42:21,login_anomaly,api,low,66.45,service,zone_north,enterprise,high,739,1,0,146.54,18,0,1,0,,,
151,837,2023-01-09 20:04:21,duplicate_transaction,web,low,270.74,service,zone_central,plus,medium,692,1,0,99.127,20,0,1,0,,,
152,479,2023-01-09 21:07:57,policy_override,api,low,150.3,service,zone_west,enterprise,medium,10,2,0,127.211,21,0,0,0,24.11,121.0,
153,97,2023-01-09 21:19:12,config_change,batch,critical,81.15,device,zone_north,standard,low,334,0,0,,21,0,0,0,13.44,49.0,
154,1038,2023-01-09 21:52:53,duplicate_transaction,batch,low,17.07,device,zone_south,plus,medium,527,0,0,,21,0,0,0,14.2,95.0,
155,807,2023-01-09 22:55:02,duplicate_transaction,web,medium,10.81,service,zone_east,plus,high,759,0,0,,22,0,1,0,,,
156,920,2023-01-10 00:23:02,config_change,web,medium,62.13,device,zone_central,standard,low,0,0,0,,0,1,0,0,16.85,76.0,
157,1328,2023-01-10 05:13:13,permission_escalation,web,high,49.2,service,zone_north,plus,low,0,1,0,134.848,5,1,0,0,42.07,98.0,
158,440,2023-01-10 10:01:22,login_anomaly,api,low,102.96,service,zone_north,plus,low,119,0,0,,10,1,0,0,29.88,92.0,
159,705,2023-01-10 10:18:01,payment_dispute,web,medium,24.73,account,zone_south,standard,low,724,0,0,,10,1,1,0,,,
160,49,2023-01-10 10:32:44,login_anomaly,mobile,critical,83.67,service,zone_south,enterprise,medium,677,0,0,,10,1,0,0,8.93,95.0,
161,1396,2023-01-10 10:50:28,login_anomaly,api,low,48.76,account,zone_north,standard,medium,686,0,0,,10,1,1,0,,,
162,140,2023-01-10 11:04:01,policy_override,api,medium,91.89,account,zone_west,standard,low,662,0,0,,11,1,1,0,,,
163,1428,2023-01-10 11:11:40,config_change,batch,high,26.51,account,zone_east,standard,medium,0,0,0,,11,1,0,0,14.62,68.0,
164,1029,2023-01-10 11:31:50,policy_override,batch,low,288.75,service,zone_central,standard,high,539,0,0,,11,1,1,0,,,
165,1260,2023-01-10 13:06:58,config_change,api,critical,3.75,integration,zone_east,standard,low,0,1,0,79.036,13,1,0,0,45.31,111.0,
166,59,2023-01-10 13:42:16,access_violation,api,critical,231.89,account,zone_west,standard,low,536,0,0,,13,1,0,0,13.77,63.0,
167,948,2023-01-10 14:15:46,config_change,web,low,62.17,vendor,zone_south,standard,low,0,0,0,,14,1,0,0,26.03,93.0,
168,757,2023-01-10 14:47:47,access_violation,mobile,medium,142.26,device,zone_central,standard,medium,452,7,0,28.801,14,1,0,0,27.45,49.0,
169,1248,2023-01-10 14:52:46,payment_dispute,api,high,78.82,account,zone_north,standard,high,135,2,0,120.638,14,1,0,0,28.35,35.0,
170,1360,2023-01-10 15:40:40,login_anomaly,mobile,medium,51.16,account,zone_east,plus,low,81,2,0,119.336,15,1,1,0,,,
171,1110,2023-01-10 16:43:58,config_change,web,low,136.29,account,zone_south,standard,medium,620,0,0,,16,1,1,0,,,
172,785,2023-01-10 17:13:38,data_export,api,medium,57.73,integration,zone_north,standard,low,0,1,0,91.468,17,1,0,0,17.06,84.0,
173,1311,2023-01-10 17:41:22,duplicate_transaction,api,critical,131.86,device,zone_north,standard,low,0,4,0,31.39,17,1,0,0,19.63,40.0,
174,954,2023-01-10 19:40:48,duplicate_transaction,web,high,200.57,account,zone_central,plus,low,0,1,0,123.244,19,1,0,0,18.21,64.0,
175,481,2023-01-10 19:49:54,config_change,web,low,63.14,device,zone_central,standard,high,0,1,0,130.829,19,1,0,0,29.47,127.0,
176,1463,2023-01-10 21:20:56,config_change,web,high,30.03,account,zone_north,standard,low,0,0,0,,21,1,0,0,27.84,107.0,
177,1248,2023-01-10 21:27:21,config_change,api,low,38.48,account,zone_north,standard,high,135,3,0,6.576,21,1,0,0,25.29,61.0,
178,905,2023-01-10 21:34:32,login_anomaly,api,low,59.52,integration,zone_central,standard,medium,0,0,0,,21,1,0,0,28.55,77.0,
179,97,2023-01-10 22:24:29,config_change,web,medium,25.16,device,zone_north,standard,low,335,1,0,25.088,22,1,1,0,,,
180,1311,2023-01-11 00:10:22,data_export,web,low,66.57,device,zone_north,standard,low,0,5,0,6.483,0,2,0,0,10.02,105.0,
181,633,2023-01-11 02:09:01,login_anomaly,mobile,low,13.78,account,zone_central,plus,low,791,2,1,136.86,2,2,0,0,33.8,84.0,
182,195,2023-01-11 02:23:17,data_export,batch,high,57.22,account,zone_west,plus,low,811,1,0,203.283,2,2,0,0,27.05,63.0,
183,1038,2023-01-11 05:37:58,config_change,web,medium,53.49,device,zone_south,plus,medium,529,1,0,31.751,5,2,0,0,29.44,85.0,
184,1433,2023-01-11 06:11:44,permission_escalation,api,low,108.56,account,zone_east,plus,low,0,1,0,180.802,6,2,1,0,,,
185,95,2023-01-11 08:10:49,config_change,web,critical,245.79,account,zone_central,standard,low,0,0,0,,8,2,0,0,5.0,108.0,
186,855,2023-01-11 08:34:27,login_anomaly,api,medium,46.34,account,zone_east,plus,high,491,0,0,,8,2,0,0,11.35,51.0,
187,893,2023-01-11 08:53:36,duplicate_transaction,api,critical,13.33,account,zone_south,standard,high,458,3,0,138.132,8,2,0,0,41.28,112.0,
188,1457,2023-01-11 10:02:09,data_export,batch,medium,15.56,account,zone_north,standard,low,651,0,0,,10,2,0,0,8.88,52.0,
189,1044,2023-01-11 11:05:26,data_export,web,low,93.3,service,zone_south,enterprise,medium,98,3,0,46.864,11,2,0,0,15.38,121.0,
190,1321,2023-01-11 11:56:50,login_anomaly,web,low,206.78,device,zone_south,plus,medium,152,0,0,,11,2,0,0,9.54,65.0,
191,173,2023-01-11 12:14:45,access_violation,web,medium,21.57,account,zone_west,plus,low,0,0,0,,12,2,1,0,,,
192,159,2023-01-11 12:45:41,access_violation,web,critical,90.94,service,zone_south,enterprise,medium,716,2,0,121.515,12,2,0,0,45.65,171.0,
193,592,2023-01-11 13:03:52,policy_override,web,medium,78.85,device,zone_central,standard,medium,0,0,0,,13,2,0,0,39.09,54.0,
194,1048,2023-01-11 13:34:16,config_change,api,high,86.27,vendor,zone_north,standard,medium,513,2,0,49.811,13,2,0,0,14.58,87.0,
195,760,2023-01-11 13:58:22,payment_dispute,api,low,56.09,device,zone_east,standard,low,72,0,0,,13,2,0,0,5.0,131.0,
196,1321,2023-01-11 15:55:48,policy_override,mobile,low,56.56,device,zone_south,plus,medium,152,1,0,3.983,15,2,0,0,13.86,114.0,
197,1311,2023-01-11 16:04:20,payment_dispute,api,low,160.33,device,zone_north,standard,low,0,6,0,15.899,16,2,0,0,12.62,106.0,
198,479,2023-01-11 16:28:10,payment_dispute,api,high,147.14,service,zone_west,enterprise,medium,12,3,0,43.337,16,2,0,0,53.42,74.0,
199,969,2023-01-11 19:03:55,login_anomaly,web,medium,30.18,device,zone_east,standard,low,903,0,0,,19,2,0,0,27.03,79.0,
